ID,x,y,z,Sender,Receiver,Interference Sender,Interference Receiver
0,0,0,0,99,,,
1,110,0,0,,,,
2,220,0,0,,,,
3,330,0,0,,,,
4,440,0,0,,,,
5,550,0,0,,,,
6,660,0,0,,,,
7,770,0,0,,,,
8,880,0,0,,,,
9,990,0,0,,,,
10,1100,0,0,,,,
11,1210,0,0,,,,
12,1320,0,0,,,,
13,1430,0,0,,,,
14,1540,0,0,,,,
15,1650,0,0,,,,
16,1760,0,0,,,,
17,1870,0,0,,,,
18,1980,0,0,,,,
19,2090,0,0,,,,
20,2200,0,0,,,,
21,2310,0,0,,,,
22,2420,0,0,,,,
23,2530,0,0,,,,
24,2640,0,0,,,,
25,2750,0,0,,,,
26,2860,0,0,,,,
27,2970,0,0,,,,
28,3080,0,0,,,,
29,3190,0,0,,,,
30,3300,0,0,,,,
31,3410,0,0,,,,
32,3520,0,0,,,,
33,3630,0,0,,,,
34,3740,0,0,,,,
35,3850,0,0,,,,
36,3960,0,0,,,,
37,4070,0,0,,,,
38,4180,0,0,,,,
39,4290,0,0,,,,
40,4400,0,0,,,,
41,4510,0,0,,,,
42,4620,0,0,,,,
43,4730,0,0,,,,
44,4840,0,0,,,,
45,4950,0,0,,,,
46,5060,0,0,,,,
47,5170,0,0,,,,
48,5280,0,0,,,,
49,5390,0,0,,,,
50,5500,0,0,,,,
51,5610,0,0,,,,
52,5720,0,0,,,,
53,5830,0,0,,,,
54,5940,0,0,,,,
55,6050,0,0,,,,
56,6160,0,0,,,,
57,6270,0,0,,,,
58,6380,0,0,,,,
59,6490,0,0,,,,
60,6600,0,0,,,,
61,6710,0,0,,,,
62,6820,0,0,,,,
63,6930,0,0,,,,
64,7040,0,0,,,,
65,7150,0,0,,,,
66,7260,0,0,,,,
67,7370,0,0,,,,
68,7480,0,0,,,,
69,7590,0,0,,,,
70,7700,0,0,,,,
71,7810,0,0,,,,
72,7920,0,0,,,,
73,8030,0,0,,,,
74,8140,0,0,,,,
75,8250,0,0,,,,
76,8360,0,0,,,,
77,8470,0,0,,,,
78,8580,0,0,,,,
79,8690,0,0,,,,
80,8800,0,0,,,,
81,8910,0,0,,,,
82,9020,0,0,,,,
83,9130,0,0,,,,
84,9240,0,0,,,,
85,9350,0,0,,,,
86,9460,0,0,,,,
87,9570,0,0,,,,
88,9680,0,0,,,,
89,9790,0,0,,,,
90,9900,0,0,,,,
91,10010,0,0,,,,
92,10120,0,0,,,,
93,10230,0,0,,,,
94,10340,0,0,,,,
95,10450,0,0,,,,
96,10560,0,0,,,,
97,10670,0,0,,,,
98,10780,0,0,,,,
99,10890,0,0,,0,,
