Node ID,Successfully Sent Packets,Successfully Sent Bytes,Successfully Sent Data-Packets,Successfully Sent Data-Bytes,Successfully Sent Control-Packets,Successfully Sent Control-Bytes,Dropped Sent Packets,Dropped Sent Bytes,Dropped Sent Data-Packets,Dropped Sent Data-Bytes,Dropped Sent Control-Packets,Dropped Sent Control-Bytes,Successfully Received Packets,Successfully Received Bytes,Successfully Received Data-Packets,Successfully Received Data-Bytes,Successfully Received Control-Packets,Successfully Received Control-Bytes,Dropped Received Packets,Dropped Received Bytes,Dropped Received Data-Packets,Dropped Received Data-Bytes,Dropped Received Control-Packets,Dropped Received Control-Bytes,Double Sent Packets,Double Sent Bytes,Double Sent Data-Packets,Double Sent Data-Bytes,Double Sent Control-Packets,Double Sent Control-Bytes,Double Received Packets,Double Received Bytes,Double Received Data-Packets,Double Received Data-Bytes,Double Received Control-Packets,Double Received Control-Bytes,Different Received Data Packets,Min Transmission Delay [ms],Max Transmission Delay [ms],Median Transmission Delay [ms],Variance Transmission Delay [ms],Tx Off [ms],Tx On [ms],Tx Busy [ms],Rx Off [ms],Rx On [ms],Rx Busy [ms],Idle [ms],TxRx Off [ms],Busy [ms]
0,1,90,1,90,0,0,0,0,0,0,0,0,5,450,5,450,0,0,24,2160,24,2160,0,0,0,0,0,0,0,0,5,450,5,450,0,0,0,9,30,18,50.8,59996,3,3,59586,413,15,0,59583,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,2610,29,2610,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-nan,60000,0,0,59583,416,0,0,59583,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,2610,29,2610,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-nan,60000,0,0,59583,416,0,0,59583,0
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,2610,29,2610,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-nan,60000,0,0,59583,416,0,0,59583,0
4,1,90,1,90,0,0,0,0,0,0,0,0,6,540,6,540,0,0,22,1980,22,1980,0,0,1,90,1,90,0,0,5,450,5,450,0,0,1,63,94,73,113.333,59996,3,3,59586,413,18,0,59583,0
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,2610,29,2610,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-nan,60000,0,0,59583,416,0,0,59583,0
6,1,90,1,90,0,0,0,0,0,0,0,0,6,540,6,540,0,0,22,1980,22,1980,0,0,1,90,1,90,0,0,5,450,5,450,0,0,1,63,94,73,101.806,59996,3,3,59586,413,18,0,59583,0
7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,2610,29,2610,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-nan,60000,0,0,59583,416,0,0,59583,0
8,1,90,1,90,0,0,0,0,0,0,0,0,7,630,7,630,0,0,23,2070,23,2070,0,0,1,90,1,90,0,0,6,540,6,540,0,0,1,57,94,71,146.408,59996,3,3,59586,413,21,0,59583,0
9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,2610,29,2610,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-nan,60000,0,0,59583,416,0,0,59583,0
10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,2610,29,2610,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-nan,60000,0,0,59583,416,0,0,59583,0
11,1,90,1,90,0,0,0,0,0,0,0,0,5,450,5,450,0,0,25,2250,25,2250,0,0,1,90,1,90,0,0,4,360,4,360,0,0,1,4,30,15,79.44,59996,3,3,59586,413,15,0,59583,0
12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,2610,29,2610,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-nan,60000,0,0,59583,416,0,0,59583,0
13,0,0,0,0,0,0,0,0,0,0,0,0,1,90,1,90,0,0,29,2610,29,2610,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,114,114,114,0,60000,0,0,59583,416,3,0,59583,0
14,0,0,0,0,0,0,0,0,0,0,0,0,1,90,1,90,0,0,29,2610,29,2610,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,114,114,114,0,60000,0,0,59583,416,3,0,59583,0
15,1,90,1,90,0,0,0,0,0,0,0,0,5,450,5,450,0,0,25,2250,25,2250,0,0,1,90,1,90,0,0,4,360,4,360,0,0,1,101,134,114,152.24,59996,3,3,59586,413,15,0,59583,0
16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,2610,29,2610,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-nan,60000,0,0,59583,416,0,0,59583,0
17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,2610,29,2610,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-nan,60000,0,0,59583,416,0,0,59583,0
18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,2610,29,2610,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-nan,60000,0,0,59583,416,0,0,59583,0
19,1,90,1,90,0,0,0,0,0,0,0,0,8,720,8,720,0,0,24,2160,24,2160,0,0,1,90,1,90,0,0,7,630,7,630,0,0,1,49,94,73,188.984,59996,3,3,59586,413,24,0,59583,0
20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,2610,29,2610,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-nan,60000,0,0,59583,416,0,0,59583,0
21,1,90,1,90,0,0,0,0,0,0,0,0,6,540,6,540,0,0,23,2070,23,2070,0,0,1,90,1,90,0,0,5,450,5,450,0,0,1,63,94,78,109.583,59996,3,3,59586,413,18,0,59583,0
22,1,90,1,90,0,0,0,0,0,0,0,0,5,450,5,450,0,0,25,2250,25,2250,0,0,1,90,1,90,0,0,4,360,4,360,0,0,1,4,23,15,44.56,59996,3,3,59586,413,15,0,59583,0
23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,2610,29,2610,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-nan,60000,0,0,59583,416,0,0,59583,0
24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,2610,29,2610,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-nan,60000,0,0,59583,416,0,0,59583,0
25,1,90,1,90,0,0,0,0,0,0,0,0,5,450,5,450,0,0,25,2250,25,2250,0,0,1,90,1,90,0,0,4,360,4,360,0,0,1,4,30,19,74.96,59996,3,3,59586,413,15,0,59583,0
26,1,90,1,90,0,0,0,0,0,0,0,0,6,540,6,540,0,0,26,2340,26,2340,0,0,1,90,1,90,0,0,5,450,5,450,0,0,1,4,46,27,228.889,59996,3,3,59586,413,18,0,59583,0
27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,2610,29,2610,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-nan,60000,0,0,59583,416,0,0,59583,0
