simFile,SimRuns,Protocol,simName,nodeCfg,Mobility-Model,Seed-Value,packetSize [Bytes],numPackets,SendIntervall [ms],simEndTime [s],Transmit Power [dBm],channel Nr,interferencePacketSize [Bytes],interferenceSendIntervall [ms],Interference Transmit Power [dBm],Interfence Channel,MPL Proactive,MPL Reactive,MPL Seed-Lifetime [Min],MPL Data Imin [ms],MPL Data Imax,MPL Data K,MPL Data Expirations,MPL Control Imin [ms],MPL Control Imax,MPL Control K,MPL Control Expirations,Flooding Hops,EnergyModel Enable,InitialBatteryEnergy [Joules]
Generic_Model,5,Mpl,Square_15x15_Mpl_2D1C,./examples/multicast/Square_15x15.csv,fixed,1234,20,60,60000,3800,0,11,,,,,TRUE,TRUE,30,1000,3,1,2,3000,3,1,1,,FALSE,50000000
Generic_Model,5,Mpl,RandomRectangle_100_Mpl_2D1C,./examples/multicast/Random_Rectangle_100.csv,fixed,1234,20,60,60000,3800,0,11,,,,,TRUE,TRUE,30,1000,3,1,2,3000,3,1,1,,FALSE,50000000
Generic_Model,5,Mpl,SquareLineSquare_100_Mpl_2D1C,./examples/multicast/SquareLineSquare_15x15-15-15x15.csv,fixed,1234,20,60,60000,3800,0,11,,,,,TRUE,TRUE,30,1000,3,1,2,3000,3,1,1,,FALSE,50000000
Generic_Model,5,Mpl,SquareLineSquare_Mpl_1D0C,./examples/multicast/SquareLineSquare_15x15-15-15x15.csv,fixed,1234,20,60,60000,3800,0,11,,,,,TRUE,FALSE,30,1000,3,1,1,3000,3,1,0,,FALSE,50000000
Generic_Model,5,Mpl,SquareLineSquare_100_Mpl_2D0C,./examples/multicast/SquareLineSquare_15x15-15-15x15.csv,fixed,1234,20,60,60000,3800,0,11,,,,,TRUE,FALSE,30,1000,3,1,2,3000,3,1,0,,FALSE,50000000
Generic_Model,5,Mpl,SquareLineSquare_100_Mpl_1D1C,./examples/multicast/SquareLineSquare_15x15-15-15x15.csv,fixed,1234,20,60,60000,3800,0,11,,,,,TRUE,TRUE,30,1000,3,1,1,3000,3,1,1,,FALSE,50000000
Generic_Model,5,Mpl,SquareLineSquare_100_Mpl_2D2C,./examples/multicast/SquareLineSquare_15x15-15-15x15.csv,fixed,1234,20,60,60000,3800,0,11,,,,,TRUE,TRUE,30,1000,3,1,2,3000,3,1,2,,FALSE,50000000
Generic_Model,5,Mpl,Square_15x15_Mpl_1D0C,./examples/multicast/Square_15x15.csv,fixed,1234,20,60,60000,3800,0,11,,,,,TRUE,FALSE,30,1000,3,1,1,3000,3,1,0,,FALSE,50000000
Generic_Model,5,Mpl,Square_15x15_Mpl_2D0C,./examples/multicast/Square_15x15.csv,fixed,1234,20,60,60000,3800,0,11,,,,,TRUE,FALSE,30,1000,3,1,2,3000,3,1,0,,FALSE,50000000
Generic_Model,5,Mpl,Square_15x15_Mpl_1D1C,./examples/multicast/Square_15x15.csv,fixed,1234,20,60,60000,3800,0,11,,,,,TRUE,TRUE,30,1000,3,1,1,3000,3,1,1,,FALSE,50000000
